Net:0.182037792253, Trade:1.2363587823, Cost:1.05432099005, Trades/Day:18.6666666667, et:0, leb:3, bs:5, ueb:6,
Net:0.16679691628, Trade:1.17860300462, Cost:1.01180608834, Trades/Day:16.5333333333, et:0, leb:3, bs:6, ueb:6,
Net:0.167749910217, Trade:1.16044241466, Cost:0.992692504438, Trades/Day:15.6166666667, et:0, leb:3, bs:7, ueb:6,
Net:0.156077741436, Trade:1.13925052578, Cost:0.983172784341, Trades/Day:15.15, et:0, leb:3, bs:8, ueb:6,
Net:0.136695894173, Trade:1.11759893462, Cost:0.980903040445, Trades/Day:15.0, et:0, leb:3, bs:9, ueb:6,
Net:0.135714914788, Trade:1.11661795502, Cost:0.980903040235, Trades/Day:15.0, et:0, leb:3, bs:10, ueb:6,
Net:0.119299056013, Trade:1.10020207447, Cost:0.980903018461, Trades/Day:14.9833333333, et:0, leb:3, bs:11, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:0, leb:3, bs:12, ueb:6,
Net:0.00358126915903, Trade:1.32876430683, Cost:1.32518303767, Trades/Day:30.7666666667, et:1, leb:3, bs:2, ueb:6,
Net:0.117090253342, Trade:1.18715231327, Cost:1.07006205992, Trades/Day:19.0, et:1, leb:3, bs:3, ueb:6,
Net:0.125243722204, Trade:1.12824877403, Cost:1.00300505182, Trades/Day:15.75, et:1, leb:3, bs:4, ueb:6,
Net:0.122413447654, Trade:1.10766254494, Cost:0.985249097286, Trades/Day:15.15, et:1, leb:3, bs:5, ueb:6,
Net:0.123714590467, Trade:1.10600097686, Cost:0.982286386389, Trades/Day:15.0166666667, et:1, leb:3, bs:6, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:1, leb:3, bs:7, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:1, leb:3, bs:8, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:1, leb:3, bs:9, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:1, leb:3, bs:10, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:1, leb:3, bs:11, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:1, leb:3, bs:12, ueb:6,
Net:0.0756697051495, Trade:1.10663400496, Cost:1.03096429981, Trades/Day:16.9833333333, et:2, leb:3, bs:2, ueb:6,
Net:0.122813165291, Trade:1.10637299951, Cost:0.983559834215, Trades/Day:15.0666666667, et:2, leb:3, bs:3, ueb:6,
Net:0.121110548865, Trade:1.10336059452, Cost:0.982250045659, Trades/Day:15.0, et:2, leb:3, bs:4, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:2, leb:3, bs:5, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:2, leb:3, bs:6, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:2, leb:3, bs:7, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:2, leb:3, bs:8, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:2, leb:3, bs:9, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:2, leb:3, bs:10, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:2, leb:3, bs:11, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:2, leb:3, bs:12, ueb:6,
Net:0.102630255056, Trade:1.1089530668, Cost:1.00632281174, Trades/Day:16.25, et:3, leb:3, bs:1, ueb:6,
Net:0.117770289173, Trade:1.10093149872, Cost:0.983161209546, Trades/Day:15.0666666667, et:3, leb:3, bs:2, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:3, leb:3, bs:3, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:3, leb:3, bs:4, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:3, leb:3, bs:5, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:3, leb:3, bs:6, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:3, leb:3, bs:7, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:3, leb:3, bs:8, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:3, leb:3, bs:9, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:3, leb:3, bs:10, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:3, leb:3, bs:11, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:3, leb:3, bs:12, ueb:6,
Net:0.112976876316, Trade:1.31794465563, Cost:1.20496777932, Trades/Day:24.3833333333, et:0, leb:3, bs:4, ueb:7,
Net:0.187516668758, Trade:1.27689311581, Cost:1.08937644706, Trades/Day:19.2166666667, et:0, leb:3, bs:5, ueb:7,
Net:0.163047748509, Trade:1.21256570748, Cost:1.04951795897, Trades/Day:17.1333333333, et:0, leb:3, bs:6, ueb:7,
Net:0.137522484846, Trade:1.16792686298, Cost:1.03040437813, Trades/Day:16.2333333333, et:0, leb:3, bs:7, ueb:7,
Net:0.118906387856, Trade:1.13862756781, Cost:1.01972117995, Trades/Day:15.7166666667, et:0, leb:3, bs:8, ueb:7,
Net:0.0995245405927, Trade:1.11697597665, Cost:1.01745143605, Trades/Day:15.5666666667, et:0, leb:3, bs:9, ueb:7,
Net:0.0985435612079, Trade:1.11599499705, Cost:1.01745143584, Trades/Day:15.5666666667, et:0, leb:3, bs:10, ueb:7,
Net:0.0821277024324, Trade:1.0995791165, Cost:1.01745141407, Trades/Day:15.55, et:0, leb:3, bs:11, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:0, leb:3, bs:12, ueb:7,
Net:0.00242921255447, Trade:1.3611211224, Cost:1.35869190985, Trades/Day:31.2666666667, et:1, leb:3, bs:2, ueb:7,
Net:0.103525396277, Trade:1.20656946265, Cost:1.10304406638, Trades/Day:19.5, et:1, leb:3, bs:3, ueb:7,
Net:0.0889015569623, Trade:1.12710825133, Cost:1.03820669437, Trades/Day:16.2833333333, et:1, leb:3, bs:4, ueb:7,
Net:0.0852420940741, Trade:1.10703958697, Cost:1.0217974929, Trades/Day:15.7166666667, et:1, leb:3, bs:5, ueb:7,
Net:0.0865432368866, Trade:1.10537801888, Cost:1.018834782, Trades/Day:15.5833333333, et:1, leb:3, bs:6, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:1, leb:3, bs:7, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:1, leb:3, bs:8, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:1, leb:3, bs:9, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:1, leb:3, bs:10, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:1, leb:3, bs:11, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:1, leb:3, bs:12, ueb:7,
Net:0.0377547407495, Trade:1.10319353437, Cost:1.06543879362, Trades/Day:17.45, et:2, leb:3, bs:2, ueb:7,
Net:0.0850334487946, Trade:1.10379464903, Cost:1.01876120023, Trades/Day:15.6, et:2, leb:3, bs:3, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:2, leb:3, bs:4, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:2, leb:3, bs:5, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:2, leb:3, bs:6, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:2, leb:3, bs:7, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:2, leb:3, bs:8, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:2, leb:3, bs:9, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:2, leb:3, bs:10, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:2, leb:3, bs:11, ueb:7,
