Net:0.926148169987, Trade:5.36248435293, Cost:4.43633618294, Trades/Day:77.6302521008, et:-1, leb:2, bs:11, ueb:4,
Net:0.979838736013, Trade:5.35139380441, Cost:4.3715550684, Trades/Day:74.9075630252, et:-1, leb:2, bs:12, ueb:4,
Net:0.449580010447, Trade:5.69872428949, Cost:5.24914427904, Trades/Day:109.504201681, et:0, leb:2, bs:2, ueb:4,
Net:1.39772486102, Trade:5.83069020527, Cost:4.43296534425, Trades/Day:78.6470588235, et:0, leb:2, bs:3, ueb:4,
Net:1.65736019359, Trade:5.62574717129, Cost:3.96838697771, Trades/Day:60.0420168067, et:0, leb:2, bs:4, ueb:4,
Net:1.69795184094, Trade:5.43849912351, Cost:3.74054728258, Trades/Day:51.3949579832, et:0, leb:2, bs:5, ueb:4,
Net:1.66835341679, Trade:5.32766413069, Cost:3.6593107139, Trades/Day:48.0840336134, et:0, leb:2, bs:6, ueb:4,
Net:1.63909134367, Trade:5.27910183574, Cost:3.64001049207, Trades/Day:47.1092436975, et:0, leb:2, bs:7, ueb:4,
Net:1.63260242178, Trade:5.2589502319, Cost:3.62634781013, Trades/Day:46.6050420168, et:0, leb:2, bs:8, ueb:4,
Net:1.62460809982, Trade:5.24861090763, Cost:3.62400280781, Trades/Day:46.4705882353, et:0, leb:2, bs:9, ueb:4,
Net:1.62750401555, Trade:5.25094956251, Cost:3.62344554696, Trades/Day:46.4453781513, et:0, leb:2, bs:10, ueb:4,
Net:1.62645319407, Trade:5.24989874088, Cost:3.62344554681, Trades/Day:46.4369747899, et:0, leb:2, bs:11, ueb:4,
Net:1.62645319407, Trade:5.24989874088, Cost:3.62344554681, Trades/Day:46.4369747899, et:0, leb:2, bs:12, ueb:4,
Net:1.67009933956, Trade:5.74468807481, Cost:4.07458873525, Trades/Day:64.0840336134, et:1, leb:2, bs:2, ueb:4,
Net:1.66327224336, Trade:5.34329081425, Cost:3.68001857088, Trades/Day:48.6638655462, et:1, leb:2, bs:3, ueb:4,
Net:1.61923986222, Trade:5.25302998981, Cost:3.6337901276, Trades/Day:46.756302521, et:1, leb:2, bs:4, ueb:4,
Net:1.62736223604, Trade:5.25243225562, Cost:3.62507001958, Trades/Day:46.487394958, et:1, leb:2, bs:5, ueb:4,
Net:1.62595395474, Trade:5.25020889141, Cost:3.62425493667, Trades/Day:46.4537815126, et:1, leb:2, bs:6, ueb:4,
Net:1.62645319407, Trade:5.24989874088, Cost:3.62344554681, Trades/Day:46.4369747899, et:1, leb:2, bs:7, ueb:4,
Net:1.62645319407, Trade:5.24989874088, Cost:3.62344554681, Trades/Day:46.4369747899, et:1, leb:2, bs:8, ueb:4,
