Net:-38.2295284984, Trade:3.74092608162, Cost:41.9704545801, Trades/Day:440.448, et:-1, leb:1, bs:1, ueb:2,
Net:-33.1138016576, Trade:5.02332188187, Cost:38.1371235395, Trades/Day:372.984, et:-1, leb:1, bs:2, ueb:2,
Net:-29.9769028257, Trade:5.37597530544, Cost:35.3528781311, Trades/Day:323.584, et:-1, leb:1, bs:3, ueb:2,
Net:-27.8352648566, Trade:5.39408954584, Cost:33.2293544024, Trades/Day:286.4, et:-1, leb:1, bs:4, ueb:2,
Net:-26.2370903633, Trade:5.42688470264, Cost:31.6639750659, Trades/Day:259.456, et:-1, leb:1, bs:5, ueb:2,
Net:-25.0418388099, Trade:5.37850585024, Cost:30.4203446602, Trades/Day:238.256, et:-1, leb:1, bs:6, ueb:2,
Net:-23.9771429878, Trade:5.43693676064, Cost:29.4140797484, Trades/Day:221.176, et:-1, leb:1, bs:7, ueb:2,
Net:-23.2787614366, Trade:5.3579811556, Cost:28.6367425922, Trades/Day:207.968, et:-1, leb:1, bs:8, ueb:2,
Net:-22.7918941503, Trade:5.27581753324, Cost:28.0677116836, Trades/Day:197.872, et:-1, leb:1, bs:9, ueb:2,
Net:-22.336805868, Trade:5.24642315977, Cost:27.5832290278, Trades/Day:189.56, et:-1, leb:1, bs:10, ueb:2,
Net:-21.9414992443, Trade:5.24171924245, Cost:27.1832184867, Trades/Day:182.512, et:-1, leb:1, bs:11, ueb:2,
Net:-21.6335301492, Trade:5.2214892862, Cost:26.8550194354, Trades/Day:176.76, et:-1, leb:1, bs:12, ueb:2,
Net:-30.6144876253, Trade:6.00026240205, Cost:36.6147500274, Trades/Day:346.192, et:0, leb:1, bs:1, ueb:2,
Net:-22.6592197552, Trade:6.28954608391, Cost:28.9487658391, Trades/Day:212.976, et:0, leb:1, bs:2, ueb:2,
Net:-20.541567703, Trade:5.53937447295, Cost:26.0809421759, Trades/Day:163.056, et:0, leb:1, bs:3, ueb:2,
Net:-19.8501596549, Trade:5.29926344306, Cost:25.149423098, Trades/Day:146.936, et:0, leb:1, bs:4, ueb:2,
Net:-19.6928690492, Trade:5.19682927364, Cost:24.8896983229, Trades/Day:142.216, et:0, leb:1, bs:5, ueb:2,
Net:-19.6697870011, Trade:5.16051515361, Cost:24.8303021548, Trades/Day:141.024, et:0, leb:1, bs:6, ueb:2,
Net:-19.6457997408, Trade:5.16459038591, Cost:24.8103901267, Trades/Day:140.688, et:0, leb:1, bs:7, ueb:2,
Net:-19.6520894119, Trade:5.15542827866, Cost:24.8075176905, Trades/Day:140.608, et:0, leb:1, bs:8, ueb:2,
Net:-19.655280906, Trade:5.14577811596, Cost:24.8010590219, Trades/Day:140.52, et:0, leb:1, bs:9, ueb:2,
Net:-19.6527202379, Trade:5.14712941036, Cost:24.7998496482, Trades/Day:140.504, et:0, leb:1, bs:10, ueb:2,
Net:-19.6527202379, Trade:5.14712941036, Cost:24.7998496482, Trades/Day:140.504, et:0, leb:1, bs:11, ueb:2,
Net:-19.6527202379, Trade:5.14712941036, Cost:24.7998496482, Trades/Day:140.504, et:0, leb:1, bs:12, ueb:2,
Net:-22.2611948957, Trade:6.18880378608, Cost:28.4499986818, Trades/Day:200.64, et:1, leb:1, bs:1, ueb:2,
Net:-19.7708586886, Trade:5.34179370396, Cost:25.1126523925, Trades/Day:145.856, et:1, leb:1, bs:2, ueb:2,
