Net:0.0532577717898, Trade:0.855507735664, Cost:0.802249963874, Trades/Day:4.984, et:0, leb:4, bs:7, ueb:6,
Net:0.128215876099, Trade:0.914591817646, Cost:0.786375941547, Trades/Day:4.648, et:0, leb:4, bs:8, ueb:6,
Net:0.0692536439649, Trade:0.849896097292, Cost:0.780642453327, Trades/Day:4.52, et:0, leb:4, bs:9, ueb:6,
Net:0.059524248536, Trade:0.836894614514, Cost:0.777370365978, Trades/Day:4.464, et:0, leb:4, bs:10, ueb:6,
Net:0.0480739670661, Trade:0.824214856028, Cost:0.776140888962, Trades/Day:4.44, et:0, leb:4, bs:11, ueb:6,
Net:0.0490944415314, Trade:0.825235314367, Cost:0.776140872836, Trades/Day:4.432, et:0, leb:4, bs:12, ueb:6,
Net:0.040512940115, Trade:0.868134070706, Cost:0.827621130591, Trades/Day:5.496, et:1, leb:4, bs:4, ueb:6,
Net:0.0504589724832, Trade:0.838233081385, Cost:0.787774108901, Trades/Day:4.672, et:1, leb:4, bs:5, ueb:6,
Net:0.0351151347996, Trade:0.814599716605, Cost:0.779484581805, Trades/Day:4.48, et:1, leb:4, bs:6, ueb:6,
Net:0.0485380096409, Trade:0.825588702857, Cost:0.777050693216, Trades/Day:4.448, et:1, leb:4, bs:7, ueb:6,
Net:0.0490944415314, Trade:0.825235314367, Cost:0.776140872836, Trades/Day:4.432, et:1, leb:4, bs:8, ueb:6,
Net:0.0490944415314, Trade:0.825235314367, Cost:0.776140872836, Trades/Day:4.432, et:1, leb:4, bs:9, ueb:6,
Net:0.0490944415314, Trade:0.825235314367, Cost:0.776140872836, Trades/Day:4.432, et:1, leb:4, bs:10, ueb:6,
Net:0.0490944415314, Trade:0.825235314367, Cost:0.776140872836, Trades/Day:4.432, et:1, leb:4, bs:11, ueb:6,
Net:0.0490944415314, Trade:0.825235314367, Cost:0.776140872836, Trades/Day:4.432, et:1, leb:4, bs:12, ueb:6,
Net:0.0760535407149, Trade:0.867378435232, Cost:0.791324894517, Trades/Day:4.728, et:2, leb:4, bs:3, ueb:6,
Net:0.0586168339967, Trade:0.839335915497, Cost:0.780719081501, Trades/Day:4.512, et:2, leb:4, bs:4, ueb:6,
Net:0.0490944415314, Trade:0.825235314367, Cost:0.776140872836, Trades/Day:4.432, et:2, leb:4, bs:5, ueb:6,
Net:0.0490944415314, Trade:0.825235314367, Cost:0.776140872836, Trades/Day:4.432, et:2, leb:4, bs:6, ueb:6,
Net:0.0490944415314, Trade:0.825235314367, Cost:0.776140872836, Trades/Day:4.432, et:2, leb:4, bs:7, ueb:6,
Net:0.0490944415314, Trade:0.825235314367, Cost:0.776140872836, Trades/Day:4.432, et:2, leb:4, bs:8, ueb:6,
Net:0.0490944415314, Trade:0.825235314367, Cost:0.776140872836, Trades/Day:4.432, et:2, leb:4, bs:9, ueb:6,
Net:0.0490944415314, Trade:0.825235314367, Cost:0.776140872836, Trades/Day:4.432, et:2, leb:4, bs:10, ueb:6,
Net:0.0490944415314, Trade:0.825235314367, Cost:0.776140872836, Trades/Day:4.432, et:2, leb:4, bs:11, ueb:6,
Net:0.0490944415314, Trade:0.825235314367, Cost:0.776140872836, Trades/Day:4.432, et:2, leb:4, bs:12, ueb:6,
Net:0.0141728115964, Trade:0.822726753623, Cost:0.808553942026, Trades/Day:4.984, et:3, leb:4, bs:2, ueb:6,
Net:0.0523484138582, Trade:0.828489289319, Cost:0.776140875461, Trades/Day:4.456, et:3, leb:4, bs:3, ueb:6,
Net:0.0509549795383, Trade:0.827095852929, Cost:0.77614087339, Trades/Day:4.44, et:3, leb:4, bs:4, ueb:6,
